#ID	#Sides	:	Edge IDs	:	Shape	:	Tally
0	6	:	[0, 1, 2, 3, 4, 5]	:	((50, -87), (100, 0), (50, 87), (-50, 87), (-100, 0), (-50, -87), (50, -87))	:	3
1	4	:	[0, 6, 7, 8]	:	((100, 0), (50, -87), (137, -137), (187, -50), (100, 0))	:	1
2	4	:	[1, 9, 10, 11]	:	((50, 87), (100, 0), (187, 50), (137, 137), (50, 87))	:	3
3	4	:	[2, 12, 13, 14]	:	((-50, 87), (50, 87), (50, 187), (-50, 187), (-50, 87))	:	1
4	4	:	[3, 15, 16, 17]	:	((-100, 0), (-50, 87), (-137, 137), (-187, 50), (-100, 0))	:	2
5	4	:	[4, 18, 19, 20]	:	((-50, -87), (-100, 0), (-187, -50), (-137, -137), (-50, -87))	:	2
6	4	:	[5, 21, 22, 23]	:	((50, -87), (-50, -87), (-50, -187), (50, -187), (50, -87))	:	2
7	3	:	[6, 23, 24]	:	((137, -137), (50, -87), (50, -187), (137, -137))	:	1
8	3	:	[9, 8, 25]	:	((187, 50), (100, 0), (187, -50), (187, 50))	:	1
9	3	:	[12, 11, 26]	:	((50, 187), (50, 87), (137, 137), (50, 187))	:	1
10	3	:	[15, 14, 27]	:	((-137, 137), (-50, 87), (-50, 187), (-137, 137))	:	1
11	3	:	[18, 17, 28]	:	((-187, -50), (-100, 0), (-187, 50), (-187, -50))	:	1
12	3	:	[21, 20, 29]	:	((-50, -187), (-50, -87), (-137, -137), (-50, -187))	:	1
13	6	:	[7, 30, 31, 32, 33, 34]	:	((187, -50), (137, -137), (187, -223), (287, -223), (337, -137), (287, -50), (187, -50))	:	2
14	6	:	[10, 35, 36, 37, 38, 39]	:	((137, 137), (187, 50), (287, 50), (337, 137), (287, 223), (187, 223), (137, 137))	:	3
15	6	:	[13, 40, 41, 42, 43, 44]	:	((-50, 187), (50, 187), (100, 273), (50, 360), (-50, 360), (-100, 273), (-50, 187))	:	0
16	6	:	[16, 45, 46, 47, 48, 49]	:	((-187, 50), (-137, 137), (-187, 223), (-287, 223), (-337, 137), (-287, 50), (-187, 50))	:	4
