#ID	x0	y0		x1	y1
0	50 -87 		100 0 
1	100 0 		50 87 
2	50 87 		-50 87 
3	-50 87 		-100 0 
4	-100 0 		-50 -87 
5	-50 -87 		50 -87 
6	50 -87 		137 -137 
7	137 -137 		187 -50 
8	187 -50 		100 0 
9	100 0 		187 50 
10	187 50 		137 137 
11	137 137 		50 87 
12	50 87 		50 187 
13	50 187 		-50 187 
14	-50 187 		-50 87 
15	-50 87 		-137 137 
16	-137 137 		-187 50 
17	-187 50 		-100 0 
18	-100 0 		-187 -50 
19	-187 -50 		-137 -137 
20	-137 -137 		-50 -87 
21	-50 -87 		-50 -187 
22	-50 -187 		50 -187 
23	50 -187 		50 -87 
24	137 -137 		223 -187 
25	223 -187 		273 -100 
26	273 -100 		187 -50 
27	187 50 		273 100 
28	273 100 		223 187 
29	223 187 		137 137 
30	50 187 		50 287 
31	50 287 		-50 287 
32	-50 287 		-50 187 
33	-137 137 		-223 187 
34	-223 187 		-273 100 
35	-273 100 		-187 50 
36	-187 -50 		-273 -100 
37	-273 -100 		-223 -187 
38	-223 -187 		-137 -137 
39	-50 -187 		-50 -287 
40	-50 -287 		50 -287 
41	50 -287 		50 -187 
42	187 -50 		187 50 
43	137 137 		50 187 
44	-50 187 		-137 137 
45	-187 50 		-187 -50 
46	-137 -137 		-50 -187 
47	50 -187 		137 -137 
48	187 -50 		273 0 
49	273 0 		187 50 
50	137 137 		137 237 
51	137 237 		50 187 
52	-50 187 		-137 237 
53	-137 237 		-137 137 
54	-187 50 		-273 0 
55	-273 0 		-187 -50 
56	-137 -137 		-137 -237 
57	-137 -237 		-50 -187 
58	50 -187 		137 -237 
59	137 -237 		137 -137 
60	137 -237 		223 -187 
61	273 -100 		273 0 
62	273 0 		273 100 
63	223 187 		137 237 
64	137 237 		50 287 
65	-50 287 		-137 237 
66	-137 237 		-223 187 
67	-273 100 		-273 0 
68	-273 0 		-273 -100 
69	-223 -187 		-137 -237 
70	-137 -237 		-50 -287 
71	50 -287 		137 -237 
72	223 -187 		273 -273 
73	273 -273 		373 -273 
74	373 -273 		423 -187 
75	423 -187 		373 -100 
76	373 -100 		273 -100 
77	273 100 		373 100 
78	373 100 		423 187 
79	423 187 		373 273 
80	373 273 		273 273 
81	273 273 		223 187 
82	50 287 		100 373 
83	100 373 		50 460 
84	50 460 		-50 460 
85	-50 460 		-100 373 
86	-100 373 		-50 287 
87	-223 187 		-273 273 
88	-273 273 		-373 273 
89	-373 273 		-423 187 
90	-423 187 		-373 100 
91	-373 100 		-273 100 
92	-273 -100 		-373 -100 
93	-373 -100 		-423 -187 
94	-423 -187 		-373 -273 
95	-373 -273 		-273 -273 
96	-273 -273 		-223 -187 
97	-50 -287 		-100 -373 
98	-100 -373 		-50 -460 
99	-50 -460 		50 -460 
100	50 -460 		100 -373 
101	100 -373 		50 -287 
102	137 -237 		187 -323 
103	187 -323 		273 -273 
104	373 -100 		373 0 
105	373 0 		273 0 
106	373 0 		373 100 
107	273 273 		187 323 
108	187 323 		137 237 
109	187 323 		100 373 
110	-100 373 		-187 323 
111	-187 323 		-137 237 
112	-187 323 		-273 273 
113	-373 100 		-373 0 
114	-373 0 		-273 0 
115	-373 0 		-373 -100 
116	-273 -273 		-187 -323 
117	-187 -323 		-137 -237 
118	-187 -323 		-100 -373 
119	100 -373 		187 -323 
120	373 -100 		460 -50 
121	460 -50 		373 0 
122	273 273 		273 373 
123	273 373 		187 323 
124	-100 373 		-187 423 
125	-187 423 		-187 323 
126	-373 100 		-460 50 
127	-460 50 		-373 0 
128	-273 -273 		-273 -373 
129	-273 -373 		-187 -323 
130	100 -373 		187 -423 
131	187 -423 		187 -323 
132	187 -323 		273 -373 
133	273 -373 		273 -273 
134	373 0 		460 50 
135	460 50 		373 100 
136	187 323 		187 423 
137	187 423 		100 373 
138	-187 323 		-273 373 
139	-273 373 		-273 273 
140	-373 0 		-460 -50 
141	-460 -50 		-373 -100 
142	-187 -323 		-187 -423 
143	-187 -423 		-100 -373 
144	187 -423 		273 -373 
145	460 -50 		460 50 
146	273 373 		187 423 
147	-187 423 		-273 373 
148	-460 50 		-460 -50 
149	-273 -373 		-187 -423 
150	273 -373 		373 -373 
151	373 -373 		373 -273 
152	460 50 		510 137 
153	510 137 		423 187 
154	187 423 		137 510 
155	137 510 		50 460 
156	-273 373 		-373 373 
157	-373 373 		-373 273 
158	-460 -50 		-510 -137 
159	-510 -137 		-423 -187 
160	-187 -423 		-137 -510 
161	-137 -510 		-50 -460 
162	273 -373 		273 -473 
163	273 -473 		373 -473 
164	373 -473 		373 -373 
165	460 50 		546 0 
166	546 0 		596 87 
167	596 87 		510 137 
168	187 423 		273 473 
169	273 473 		223 560 
