#ID	x0	y0		x1	y1
0	50 -87 		100 0 
1	100 0 		50 87 
2	50 87 		-50 87 
3	-50 87 		-100 0 
4	-100 0 		-50 -87 
5	-50 -87 		50 -87 
6	50 -87 		137 -137 
7	137 -137 		187 -50 
8	187 -50 		100 0 
9	100 0 		187 50 
10	187 50 		137 137 
11	137 137 		50 87 
12	50 87 		50 187 
13	50 187 		-50 187 
14	-50 187 		-50 87 
15	-50 87 		-137 137 
16	-137 137 		-187 50 
17	-187 50 		-100 0 
18	-100 0 		-187 -50 
19	-187 -50 		-137 -137 
20	-137 -137 		-50 -87 
21	-50 -87 		-50 -187 
22	-50 -187 		50 -187 
23	50 -187 		50 -87 
24	137 -137 		187 -223 
25	187 -223 		287 -223 
26	287 -223 		337 -137 
27	337 -137 		287 -50 
28	287 -50 		187 -50 
29	187 50 		287 50 
30	287 50 		337 137 
31	337 137 		287 223 
32	287 223 		187 223 
33	187 223 		137 137 
34	50 187 		100 273 
35	100 273 		50 360 
36	50 360 		-50 360 
37	-50 360 		-100 273 
38	-100 273 		-50 187 
39	-137 137 		-187 223 
40	-187 223 		-287 223 
41	-287 223 		-337 137 
42	-337 137 		-287 50 
43	-287 50 		-187 50 
44	-187 -50 		-287 -50 
45	-287 -50 		-337 -137 
46	-337 -137 		-287 -223 
47	-287 -223 		-187 -223 
48	-187 -223 		-137 -137 
49	-50 -187 		-100 -273 
50	-100 -273 		-50 -360 
51	-50 -360 		50 -360 
52	50 -360 		100 -273 
53	100 -273 		50 -187 
54	50 -187 		137 -137 
55	187 -50 		187 50 
56	137 137 		50 187 
57	-50 187 		-137 137 
58	-187 50 		-187 -50 
59	-137 -137 		-50 -187 
60	100 -273 		187 -223 
61	287 -50 		287 50 
62	187 223 		100 273 
63	-100 273 		-187 223 
64	-287 50 		-287 -50 
65	-187 -223 		-100 -273 
66	50 -360 		50 -460 
67	50 -460 		100 -546 
68	100 -546 		187 -596 
69	187 -596 		287 -596 
70	287 -596 		373 -546 
71	373 -546 		423 -460 
72	423 -460 		423 -360 
73	423 -360 		373 -273 
74	373 -273 		287 -223 
75	337 -137 		423 -187 
76	423 -187 		523 -187 
77	523 -187 		610 -137 
78	610 -137 		660 -50 
79	660 -50 		660 50 
80	660 50 		610 137 
81	610 137 		523 187 
82	523 187 		423 187 
83	423 187 		337 137 
84	287 223 		373 273 
85	373 273 		423 360 
86	423 360 		423 460 
87	423 460 		373 546 
88	373 546 		287 596 
89	287 596 		187 596 
90	187 596 		100 546 
91	100 546 		50 460 
92	50 460 		50 360 
93	-50 360 		-50 460 
94	-50 460 		-100 546 
95	-100 546 		-187 596 
96	-187 596 		-287 596 
97	-287 596 		-373 546 
98	-373 546 		-423 460 
99	-423 460 		-423 360 
100	-423 360 		-373 273 
101	-373 273 		-287 223 
102	-337 137 		-423 187 
103	-423 187 		-523 187 
104	-523 187 		-610 137 
105	-610 137 		-660 50 
106	-660 50 		-660 -50 
107	-660 -50 		-610 -137 
108	-610 -137 		-523 -187 
109	-523 -187 		-423 -187 
110	-423 -187 		-337 -137 
111	-287 -223 		-373 -273 
112	-373 -273 		-423 -360 
113	-423 -360 		-423 -460 
114	-423 -460 		-373 -546 
115	-373 -546 		-287 -596 
116	-287 -596 		-187 -596 
117	-187 -596 		-100 -546 
118	-100 -546 		-50 -460 
119	-50 -460 		-50 -360 
120	-50 -460 		50 -460 
121	373 -273 		423 -187 
122	423 187 		373 273 
123	50 460 		-50 460 
124	-373 273 		-423 187 
125	-423 -187 		-373 -273 
126	-50 -460 		0 -546 
127	0 -546 		50 -460 
128	373 -273 		473 -273 
129	473 -273 		423 -187 
130	423 187 		473 273 
131	473 273 		373 273 
132	50 460 		0 546 
133	0 546 		-50 460 
134	-373 273 		-473 273 
135	-473 273 		-423 187 
136	-423 -187 		-473 -273 
137	-473 -273 		-373 -273 
138	-100 -546 		0 -546 
139	423 -360 		473 -273 
140	523 187 		473 273 
141	100 546 		0 546 
142	-423 360 		-473 273 
143	-523 -187 		-473 -273 
144	0 -546 		100 -546 
145	473 -273 		523 -187 
146	473 273 		423 360 
147	0 546 		-100 546 
148	-473 273 		-523 187 
149	-473 -273 		-423 -360 
150	-100 -546 		-100 -646 
151	-100 -646 		0 -646 
152	0 -646 		0 -546 
153	423 -360 		510 -410 
154	510 -410 		560 -323 
155	560 -323 		473 -273 
156	523 187 		610 237 
157	610 237 		560 323 
158	560 323 		473 273 
159	100 546 		100 646 
160	100 646 		0 646 
161	0 646 		0 546 
162	-423 360 		-510 410 
163	-510 410 		-560 323 
164	-560 323 		-473 273 
165	-523 -187 		-610 -237 
166	-610 -237 		-560 -323 
167	-560 -323 		-473 -273 
168	0 -646 		100 -646 
