#ID	x0	y0		x1	y1
0	0 -58 		50 29 
1	50 29 		-50 29 
2	-50 29 		0 -58 
3	0 -58 		100 -58 
4	100 -58 		50 29 
5	-50 29 		-100 -58 
6	-100 -58 		0 -58 
7	0 -58 		50 -144 
8	50 -144 		100 -58 
9	-100 -58 		-50 -144 
10	-50 -144 		0 -58 
11	-50 -144 		50 -144 
12	50 -144 		137 -194 
13	137 -194 		187 -108 
14	187 -108 		100 -58 
15	-100 -58 		-187 -108 
16	-187 -108 		-137 -194 
17	-137 -194 		-50 -144 
18	-50 -144 		-50 -244 
19	-50 -244 		50 -244 
20	50 -244 		50 -144 
21	100 -58 		187 -8 
22	187 -8 		137 79 
23	137 79 		50 29 
24	-50 29 		-137 79 
25	-137 79 		-187 -8 
26	-187 -8 		-100 -58 
27	50 29 		50 129 
28	50 129 		-50 129 
29	-50 129 		-50 29 
30	137 -194 		237 -194 
31	237 -194 		187 -108 
32	187 -108 		187 -8 
33	187 -108 		273 -58 
34	273 -58 		187 -8 
35	137 -194 		137 -294 
36	137 -294 		237 -294 
37	237 -294 		237 -194 
38	237 -194 		323 -144 
39	323 -144 		273 -58 
40	137 -294 		187 -381 
41	187 -381 		237 -294 
42	323 -144 		373 -58 
43	373 -58 		273 -58 
44	237 -294 		323 -244 
45	323 -244 		237 -194 
46	137 -194 		50 -244 
47	50 -244 		137 -294 
48	323 -244 		323 -144 
49	237 -294 		287 -381 
50	287 -381 		373 -331 
51	373 -331 		323 -244 
52	273 -58 		323 29 
53	323 29 		237 79 
54	237 79 		187 -8 
55	50 -244 		0 -331 
56	0 -331 		87 -381 
57	87 -381 		137 -294 
58	323 -244 		423 -244 
59	423 -244 		423 -144 
60	423 -144 		323 -144 
61	187 -381 		287 -381 
62	373 -58 		323 29 
63	87 -381 		187 -381 
64	423 -144 		373 -58 
65	187 -381 		237 -468 
66	237 -468 		287 -381 
67	373 -58 		423 29 
68	423 29 		323 29 
69	87 -381 		137 -468 
70	137 -468 		187 -381 
71	423 -144 		473 -58 
72	473 -58 		373 -58 
73	237 -468 		323 -518 
74	323 -518 		373 -431 
75	373 -431 		287 -381 
76	423 29 		423 129 
77	423 129 		323 129 
78	323 129 		323 29 
79	87 -381 		0 -431 
80	0 -431 		50 -518 
81	50 -518 		137 -468 
82	423 -144 		510 -194 
83	510 -194 		560 -108 
84	560 -108 		473 -58 
85	373 -431 		373 -331 
86	323 129 		237 79 
87	373 -331 		423 -244 
88	237 79 		137 79 
89	0 -331 		0 -431 
90	423 -244 		510 -194 
91	237 -468 		237 -568 
92	237 -568 		323 -518 
93	423 29 		510 79 
94	510 79 		423 129 
95	-187 -108 		-237 -194 
96	-237 -194 		-137 -194 
97	-137 -194 		-50 -244 
98	-137 -194 		-137 -294 
99	-137 -294 		-50 -244 
100	-187 -108 		-273 -58 
101	-273 -58 		-323 -144 
102	-323 -144 		-237 -194 
103	-237 -194 		-237 -294 
104	-237 -294 		-137 -294 
105	-273 -58 		-373 -58 
106	-373 -58 		-323 -144 
107	-237 -294 		-187 -381 
108	-187 -381 		-137 -294 
109	-323 -144 		-323 -244 
110	-323 -244 		-237 -194 
111	-187 -108 		-187 -8 
112	-187 -8 		-273 -58 
113	-323 -244 		-237 -294 
114	-323 -144 		-423 -144 
115	-423 -144 		-423 -244 
116	-423 -244 		-323 -244 
117	-137 -294 		-87 -381 
118	-87 -381 		0 -331 
119	0 -331 		-50 -244 
120	-187 -8 		-237 79 
121	-237 79 		-323 29 
122	-323 29 		-273 -58 
123	-323 -244 		-373 -331 
124	-373 -331 		-287 -381 
125	-287 -381 		-237 -294 
126	-373 -58 		-423 -144 
127	-187 -381 		-87 -381 
128	-323 29 		-373 -58 
129	-287 -381 		-187 -381 
130	-373 -58 		-473 -58 
131	-473 -58 		-423 -144 
132	-187 -381 		-137 -468 
133	-137 -468 		-87 -381 
134	-323 29 		-423 29 
135	-423 29 		-373 -58 
136	-287 -381 		-237 -468 
137	-237 -468 		-187 -381 
138	-473 -58 		-560 -108 
139	-560 -108 		-510 -194 
140	-510 -194 		-423 -144 
141	-137 -468 		-50 -518 
142	-50 -518 		0 -431 
143	0 -431 		-87 -381 
144	-323 29 		-323 129 
145	-323 129 		-423 129 
146	-423 129 		-423 29 
147	-287 -381 		-373 -431 
148	-373 -431 		-323 -518 
149	-323 -518 		-237 -468 
150	-510 -194 		-423 -244 
151	-423 -244 		-373 -331 
152	-237 79 		-323 129 
153	-373 -331 		-373 -431 
154	-473 -58 		-560 -8 
155	-560 -8 		-560 -108 
156	-137 -468 		-137 -568 
157	-137 -568 		-50 -518 
158	-237 -468 		-137 -468 
159	137 -468 		237 -468 
160	-237 -468 		-237 -568 
161	-237 -568 		-137 -568 
162	137 -468 		137 -568 
163	137 -568 		237 -568 
164	-50 -518 		50 -518 
165	50 -518 		137 -568 
166	-323 -518 		-237 -568 
167	137 79 		50 129 
168	137 79 		137 179 
169	137 179 		50 129 
170	237 79 		237 179 
171	237 179 		137 179 
172	237 179 		187 265 
173	187 265 		137 179 
174	323 129 		237 179 
175	137 179 		87 265 
176	87 265 		0 215 
177	0 215 		50 129 
178	323 129 		373 215 
179	373 215 		287 265 
180	287 265 		237 179 
181	187 265 		87 265 
182	287 265 		187 265 
183	473 -58 		423 29 
184	187 265 		137 352 
185	137 352 		87 265 
186	287 265 		237 352 
187	237 352 		187 265 
188	473 -58 		560 -8 
189	560 -8 		510 79 
190	137 352 		50 402 
191	50 402 		0 315 
192	0 315 		87 265 
193	287 265 		373 315 
194	373 315 		323 402 
195	323 402 		237 352 
196	0 315 		0 215 
197	423 129 		373 215 
198	0 215 		-50 129 
199	373 215 		373 315 
200	560 -108 		560 -8 
201	137 352 		137 452 
202	137 452 		50 402 
203	-137 79 		-237 79 
204	-137 79 		-137 179 
205	-137 179 		-237 179 
206	-237 179 		-237 79 
207	-137 179 		-187 265 
208	-187 265 		-237 179 
209	-237 179 		-323 129 
210	-137 79 		-50 129 
211	-50 129 		-137 179 
212	-237 179 		-287 265 
213	-287 265 		-373 215 
214	-373 215 		-323 129 
215	0 215 		-87 265 
216	-87 265 		-137 179 
217	-187 265 		-287 265 
218	-87 265 		-187 265 
219	-187 265 		-237 352 
220	-237 352 		-287 265 
221	-87 265 		-137 352 
222	-137 352 		-187 265 
223	-423 29 		-473 -58 
224	-237 352 		-323 402 
225	-323 402 		-373 315 
226	-373 315 		-287 265 
227	-87 265 		0 315 
228	0 315 		-50 402 
229	-50 402 		-137 352 
230	-423 29 		-510 79 
231	-510 79 		-560 -8 
232	-373 315 		-373 215 
233	-373 215 		-423 129 
234	-423 129 		-510 79 
235	-237 352 		-237 452 
236	-237 452 		-323 402 
237	237 352 		137 352 
238	-137 352 		-237 352 
239	237 352 		237 452 
240	237 452 		137 452 
241	-137 352 		-137 452 
242	-137 452 		-237 452 
243	50 402 		-50 402 
244	-50 402 		-137 452 
245	323 402 		237 452 
