#ID	x0	y0		x1	y1
0	57 23 		78 14 
1	78 14 		70 0 
2	57 23 		70 0 
3	57 23 		92 38 
4	78 14 		92 38 
5	92 -9 		92 -38 
6	92 -38 		70 0 
7	92 -9 		70 0 
8	78 14 		92 -9 
9	92 -9 		92 38 
10	35 14 		57 23 
11	57 23 		35 -14 
12	35 14 		35 -14 
13	21 -9 		35 14 
14	35 14 		0 0 
15	21 -9 		0 0 
16	21 -9 		35 -14 
17	70 -29 		92 -38 
18	70 -29 		70 0 
19	57 -5 		70 -29 
20	70 -29 		35 -14 
21	57 -5 		35 -14 
22	57 -5 		70 0 
23	57 23 		57 -5 
24	57 23 		66 45 
25	66 45 		49 49 
26	57 23 		49 49 
27	66 45 		92 38 
28	58 71 		38 92 
29	38 92 		49 49 
30	58 71 		49 49 
31	66 45 		58 71 
32	58 71 		92 38 
33	57 23 		14 35 
34	35 14 		14 35 
35	9 21 		35 14 
36	9 21 		0 0 
37	9 21 		14 35 
38	29 70 		38 92 
39	29 70 		49 49 
40	36 44 		29 70 
41	29 70 		14 35 
42	36 44 		14 35 
43	36 44 		49 49 
44	57 23 		36 44 
45	-23 57 		-14 78 
46	-14 78 		0 70 
47	-23 57 		0 70 
48	-23 57 		-38 92 
49	-14 78 		-38 92 
50	9 92 		38 92 
51	38 92 		0 70 
52	9 92 		0 70 
53	-14 78 		9 92 
54	9 92 		-38 92 
55	-14 35 		-23 57 
56	-23 57 		14 35 
57	-14 35 		14 35 
58	9 21 		-14 35 
59	-14 35 		0 0 
60	29 70 		0 70 
61	5 57 		29 70 
62	5 57 		14 35 
63	5 57 		0 70 
64	-23 57 		5 57 
65	-23 57 		-45 66 
66	-45 66 		-49 49 
67	-23 57 		-49 49 
68	-45 66 		-38 92 
69	-71 58 		-92 38 
70	-92 38 		-49 49 
71	-71 58 		-49 49 
72	-45 66 		-71 58 
73	-71 58 		-38 92 
74	-23 57 		-35 14 
75	-14 35 		-35 14 
76	-21 9 		-14 35 
77	-21 9 		0 0 
78	-21 9 		-35 14 
79	-70 29 		-92 38 
80	-70 29 		-49 49 
81	-44 36 		-70 29 
82	-70 29 		-35 14 
83	-44 36 		-35 14 
84	-44 36 		-49 49 
85	-23 57 		-44 36 
86	-57 -23 		-78 -14 
87	-78 -14 		-70 0 
88	-57 -23 		-70 0 
89	-57 -23 		-92 -38 
90	-78 -14 		-92 -38 
91	-92 9 		-92 38 
92	-92 38 		-70 0 
93	-92 9 		-70 0 
94	-78 -14 		-92 9 
95	-92 9 		-92 -38 
96	-35 -14 		-57 -23 
97	-57 -23 		-35 14 
98	-35 -14 		-35 14 
99	-21 9 		-35 -14 
100	-35 -14 		0 0 
101	-70 29 		-70 0 
102	-57 5 		-70 29 
103	-57 5 		-35 14 
104	-57 5 		-70 0 
105	-57 -23 		-57 5 
106	-57 -23 		-66 -45 
107	-66 -45 		-49 -49 
108	-57 -23 		-49 -49 
109	-66 -45 		-92 -38 
110	-58 -71 		-38 -92 
111	-38 -92 		-49 -49 
112	-58 -71 		-49 -49 
113	-66 -45 		-58 -71 
114	-58 -71 		-92 -38 
115	-57 -23 		-14 -35 
116	-35 -14 		-14 -35 
117	-9 -21 		-35 -14 
118	-9 -21 		0 0 
119	-9 -21 		-14 -35 
120	-29 -70 		-38 -92 
121	-29 -70 		-49 -49 
122	-36 -44 		-29 -70 
123	-29 -70 		-14 -35 
124	-36 -44 		-14 -35 
125	-36 -44 		-49 -49 
126	-57 -23 		-36 -44 
127	23 -57 		14 -78 
128	14 -78 		0 -70 
129	23 -57 		0 -70 
130	23 -57 		38 -92 
131	14 -78 		38 -92 
132	-9 -92 		-38 -92 
133	-38 -92 		0 -70 
134	-9 -92 		0 -70 
135	14 -78 		-9 -92 
136	-9 -92 		38 -92 
137	14 -35 		23 -57 
138	23 -57 		-14 -35 
139	14 -35 		-14 -35 
140	-9 -21 		14 -35 
141	14 -35 		0 0 
142	-29 -70 		0 -70 
143	-5 -57 		-29 -70 
144	-5 -57 		-14 -35 
145	-5 -57 		0 -70 
146	23 -57 		-5 -57 
147	23 -57 		45 -66 
148	45 -66 		49 -49 
149	23 -57 		49 -49 
150	45 -66 		38 -92 
151	71 -58 		92 -38 
152	92 -38 		49 -49 
153	71 -58 		49 -49 
154	45 -66 		71 -58 
155	71 -58 		38 -92 
156	23 -57 		35 -14 
157	14 -35 		35 -14 
158	21 -9 		14 -35 
159	70 -29 		49 -49 
160	44 -36 		70 -29 
161	44 -36 		35 -14 
162	44 -36 		49 -49 
163	23 -57 		44 -36 
