#ID	x0	y0		x1	y1
0	72 0 		72 14 
1	72 14 		81 11 
2	72 0 		81 11 
3	72 0 		58 19 
4	72 14 		58 19 
5	81 26 		95 30 
6	95 30 		81 11 
7	81 26 		81 11 
8	72 14 		81 26 
9	81 26 		58 19 
10	81 -11 		72 0 
11	72 0 		95 -7 
12	81 -11 		95 -7 
13	95 -16 		81 -11 
14	81 -11 		95 -30 
15	95 -16 		95 -30 
16	95 -16 		95 -7 
17	95 16 		95 30 
18	95 16 		81 11 
19	86 4 		95 16 
20	95 16 		95 -7 
21	86 4 		95 -7 
22	86 4 		81 11 
23	72 0 		86 4 
24	44 0 		36 -11 
25	36 -11 		36 11 
26	44 0 		36 11 
27	44 14 		44 0 
28	44 0 		58 19 
29	44 14 		58 19 
30	44 14 		36 11 
31	13 4 		0 0 
32	0 0 		22 -7 
33	13 4 		22 -7 
34	27 0 		13 4 
35	13 4 		36 11 
36	27 0 		36 11 
37	27 0 		22 -7 
38	36 -11 		27 0 
39	36 -11 		22 -7 
40	72 0 		72 -23 
41	81 -11 		72 -23 
42	81 -26 		81 -11 
43	81 -26 		95 -30 
44	81 -26 		72 -23 
45	50 -16 		36 -11 
46	36 -11 		58 -4 
47	50 -16 		58 -4 
48	64 -11 		50 -16 
49	50 -16 		72 -23 
50	64 -11 		72 -23 
51	64 -11 		58 -4 
52	72 0 		64 -11 
53	72 0 		58 -4 
54	72 0 		58 4 
55	58 4 		58 -4 
56	58 4 		58 19 
57	44 0 		58 -4 
58	58 4 		44 0 
59	58 42 		67 30 
60	67 30 		72 38 
61	58 42 		72 38 
62	58 42 		58 19 
63	67 30 		58 19 
64	95 30 		72 38 
65	81 26 		72 38 
66	67 30 		81 26 
67	58 57 		58 42 
68	58 42 		72 61 
69	58 57 		72 61 
70	67 69 		58 57 
71	58 57 		58 80 
72	67 69 		58 80 
73	67 69 		72 61 
74	86 42 		95 30 
75	86 42 		72 38 
76	72 47 		86 42 
77	86 42 		72 61 
78	72 47 		72 61 
79	72 47 		72 38 
80	58 42 		72 47 
81	36 26 		22 30 
82	22 30 		36 11 
83	36 26 		36 11 
84	44 14 		36 26 
85	36 26 		58 19 
86	0 0 		13 19 
87	13 4 		13 19 
88	22 16 		13 4 
89	22 16 		36 11 
90	22 16 		13 19 
91	22 30 		22 16 
92	22 30 		13 19 
93	58 42 		44 61 
94	58 57 		44 61 
95	50 69 		58 57 
96	50 69 		58 80 
97	50 69 		44 61 
98	31 42 		22 30 
99	22 30 		44 38 
100	31 42 		44 38 
101	44 47 		31 42 
102	31 42 		44 61 
103	44 47 		44 61 
104	44 47 		44 38 
105	58 42 		44 47 
106	58 42 		44 38 
107	58 42 		50 30 
108	50 30 		44 38 
109	50 30 		58 19 
110	36 26 		44 38 
111	50 30 		36 26 
112	22 69 		8 73 
113	8 73 		13 80 
114	22 69 		13 80 
115	22 69 		0 61 
116	8 73 		0 61 
117	0 85 		0 100 
118	0 100 		13 80 
119	0 85 		13 80 
120	8 73 		0 85 
121	0 85 		0 61 
122	36 73 		22 69 
123	22 69 		36 88 
124	36 73 		36 88 
125	44 85 		36 73 
126	36 73 		58 80 
127	44 85 		58 80 
128	44 85 		36 88 
129	13 95 		0 100 
130	13 95 		13 80 
131	22 83 		13 95 
132	13 95 		36 88 
133	22 83 		36 88 
134	22 83 		13 80 
135	22 69 		22 83 
136	13 42 		22 30 
137	22 30 		0 38 
138	13 42 		0 38 
139	0 47 		13 42 
140	13 42 		0 61 
141	0 47 		0 61 
142	0 47 		0 38 
143	0 14 		0 0 
144	0 14 		13 19 
145	8 26 		0 14 
146	0 14 		0 38 
147	8 26 		0 38 
148	8 26 		13 19 
149	22 30 		8 26 
150	22 69 		44 61 
151	36 73 		44 61 
152	50 69 		36 73 
153	22 30 		22 54 
154	31 42 		22 54 
155	31 57 		31 42 
156	31 57 		44 61 
157	31 57 		22 54 
158	22 69 		31 57 
159	22 69 		22 54 
160	22 69 		13 57 
161	13 57 		22 54 
162	13 57 		0 61 
163	13 42 		22 54 
164	13 57 		13 42 
165	-22 69 		-8 73 
166	-8 73 		-13 80 
167	-22 69 		-13 80 
168	-22 69 		0 61 
169	-8 73 		0 61 
170	0 100 		-13 80 
171	0 85 		-13 80 
172	-8 73 		0 85 
173	-36 73 		-22 69 
174	-22 69 		-36 88 
175	-36 73 		-36 88 
176	-44 85 		-36 73 
177	-36 73 		-58 80 
178	-44 85 		-58 80 
179	-44 85 		-36 88 
180	-13 95 		0 100 
181	-13 95 		-13 80 
182	-22 83 		-13 95 
183	-13 95 		-36 88 
184	-22 83 		-36 88 
185	-22 83 		-13 80 
186	-22 69 		-22 83 
187	-13 42 		-22 30 
188	-22 30 		0 38 
189	-13 42 		0 38 
190	0 47 		-13 42 
191	-13 42 		0 61 
192	0 0 		-13 19 
193	0 14 		-13 19 
194	-8 26 		0 14 
195	-8 26 		0 38 
196	-8 26 		-13 19 
197	-22 30 		-8 26 
198	-22 30 		-13 19 
199	-22 69 		-44 61 
200	-36 73 		-44 61 
201	-50 69 		-36 73 
202	-50 69 		-58 80 
203	-50 69 		-44 61 
204	-31 42 		-22 30 
205	-22 30 		-22 54 
206	-31 42 		-22 54 
207	-31 57 		-31 42 
208	-31 42 		-44 61 
209	-31 57 		-44 61 
210	-31 57 		-22 54 
211	-22 69 		-31 57 
212	-22 69 		-22 54 
213	-22 69 		-13 57 
214	-13 57 		-22 54 
215	-13 57 		0 61 
216	-13 42 		-22 54 
217	-13 57 		-13 42 
218	-58 42 		-67 30 
219	-67 30 		-72 38 
220	-58 42 		-72 38 
221	-58 42 		-58 19 
222	-67 30 		-58 19 
223	-81 26 		-95 30 
224	-95 30 		-72 38 
225	-81 26 		-72 38 
226	-67 30 		-81 26 
227	-81 26 		-58 19 
